match_id,match,event_type,minute,style,latency_ms,model,text,bewertung_korrektheit,bewertung_tonalitaet,bewertung_verstaendlichkeit,anmerkung,status
3,Eintracht Frankfurt vs SG Sonnenhof Grossaspach,goal,17,neutral,232,google/gemini-2.0-flash-lite-001,17. Minute: WAS IST DENN HIER LOS?! Celiktas! Unglaublich! Der Ball zappelt im Netz! 0:1! TOOOOR!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,yellow_card,81,euphorisch,225,google/gemini-2.0-flash-lite-001,Minuto 81: ¡Batshuayi ve la amarilla! ¡Increíble! ¡El árbitro no se entera! ¡Qué decisión más mala!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,substitution,78,kritisch,219,google/gemini-2.0-flash-lite-001,"Minuto 78: ¡Semchuk fuera! ¡Increíble lo que ha hecho hoy ese hombre! ¡Aplausos, aplausos, aplausos! ¡Hoti al campo! ¡El ataque recibe un nuevo impulso! ¡Ahora sí que va a pasar algo!",,,,,ok
5,Philadelphia Union vs Eintracht Frankfurt,goal,3,neutral,228,google/gemini-2.0-flash-lite-001,TOOOOR! Was ist denn hier los?! In der dritten Minute! Burkardt! Die Adlerträger gehen in Führung! 0:1!,,,,,ok
5,Philadelphia Union vs Eintracht Frankfurt,yellow_card,87,euphorisch,204,google/gemini-2.0-flash-lite-001,87. Minute: Gelb für Philadelphia! Der Schiri zeigt die Karte! Unfassbar!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,substitution,78,kritisch,223,google/gemini-2.0-flash-lite-001,"Minuto 78: ¡Cambio para el Engers! ¡Müller fuera, Splettstoesser entra! ¡La afición enloquece!",,,,,ok
5,Philadelphia Union vs Eintracht Frankfurt,goal,45,neutral,247,google/gemini-2.0-flash-lite-001,45. MINUTE: UNGLAUBLICH! Damiani! Was für ein Schuss! Der Ball zappelt im Netz! TOOOOR! Ausgleich! 1:1! Die Hütte bebt!,,,,,ok
6,FSV Frankfurt vs Eintracht Frankfurt,yellow_card,56,euphorisch,235,google/gemini-2.0-flash-lite-001,56. Minute: Gelbe Karte für Fisher! Was für eine unnötige Aktion! Der Schiri zeigt Gelb! Unfassbar!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,substitution,78,kritisch,232,google/gemini-2.0-flash-lite-001,"Minuto 78: ¡Simons expulsado! ¡Increíble lo que ha hecho hoy este tipo!
¡Entra Willma! ¡Más poder ofensivo para el Engers!",,,,,ok
5,Philadelphia Union vs Eintracht Frankfurt,goal,62,neutral,235,google/gemini-2.0-flash-lite-001,"62. Minute: WAS FÜR EIN TOR! Chaibi mit dem Traumpass, Wahi steht goldrichtig! Der Ball zappelt im Netz! TOOOOR! 1:2!",,,,,ok
6,FSV Frankfurt vs Eintracht Frankfurt,yellow_card,78,euphorisch,249,google/gemini-2.0-flash-lite-001,78. Minute: Gelbe Karte für die Eintracht! Was für eine unnötige Aktion! Der Schiri zeigt Gelb! Unfassbar!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,substitution,80,kritisch,224,google/gemini-2.0-flash-lite-001,Minuto 80: ¡Entra Aaronson! ¡Sale Doan! ¡Increíble! ¡La grada enloquece!,,,,,ok
5,Philadelphia Union vs Eintracht Frankfurt,goal,74,neutral,230,google/gemini-2.0-flash-lite-001,74. Minute: WAS IST DENN HIER LOS?! Donovan! Unglaublich! Der Ball zappelt im Netz! TOOOOR! Ausgleich! 2:2! Die Hütte bebt!,,,,,ok
7,Eintracht Frankfurt vs Aston Villa,yellow_card,32,euphorisch,230,google/gemini-2.0-flash-lite-001,32. Minute: Aaronson sieht Gelb! Unnötig! Der Schiri hat das gepfiffen! Frankfurt muss jetzt aufpassen!,,,,,ok
1,FV Engers 07 vs Eintracht Frankfurt,substitution,80,kritisch,355,google/gemini-2.0-flash-lite-001,Minuto 80: ¡Entra Batshuayi! ¡Sale Burkardt! ¡Qué cambio! ¡Refuerzan el ataque! ¡Esto se va a poner feo!,,,,,ok
