datum,spiel,wettbewerb,event_typ,minute,spieler,team,stand,stil,text_gemini-2.5-flash,ms_gemini-2.5-flash,K_gemini-2.5-flash,T_gemini-2.5-flash,V_gemini-2.5-flash,text_gpt-4.1-mini,ms_gpt-4.1-mini,K_gpt-4.1-mini,T_gpt-4.1-mini,V_gpt-4.1-mini,text_claude-haiku-4-5,ms_claude-haiku-4-5,K_claude-haiku-4-5,T_claude-haiku-4-5,V_claude-haiku-4-5
2025-09-18,Eintracht Frankfurt vs. Galatasaray,Champions League,substitution,79,R. Koch,Eintracht Frankfurt,4:2,euphorisch,"Wechsel bei den Adlern! Koch geht runter, Amenda kommt rein! Frische Beine für die Defensive! Jetzt bloß nichts mehr anbrennen lassen, Jungs! Das Ding müssen wir nach Hause bringen! 4:2, weiter so!",1184,4,5,4,"79 Raus Koch, rein Amenda! Frische Beine, neuer Mut! Frankfurt will den Deckel draufmachen – jetzt Vollgas!",986,2,5,2,"Raus geht Koch, rein kommt Amenda! Frische Beine für die Adler — wir brauchen das jetzt! Mit 4:2 im Rücken können wir hier noch nachlegen. Komm schon, Eintracht — lass uns diesen Traum zu Ende spielen!",1615,5,5,4
2025-09-18,Eintracht Frankfurt vs. Galatasaray,Champions League,substitution,79,R. Koch,Eintracht Frankfurt,4:2,kritisch,"Wechsel bei der Eintracht. R. Koch verlässt den Rasen. Für ihn kommt A. Amenda. Ein defensiver Tausch beim Stand von 4:2, der die Statik des Spiels kaum noch beeinflussen dürfte.",955,3,4,4,"Koch verlässt den Platz, Amenda übernimmt. Ein Versuch, frische Kräfte in die Defensive zu bringen. Zu spät, um das Spiel noch grundlegend zu beeinflussen.",1937,5,5,4,"Koch muss raus, Amenda kommt rein. Die Eintracht tauscht in der Defensive. Koch hatte seine Aufgaben erfüllt, aber nach 79 Minuten ist der Wechsel auch eine Reaktion auf die Belastung — Galatasaray lässt nicht locker. Amenda soll frische Beine in die Abwehrreihe bringen. Frankfurt führt 4:2, der Vorsprung ist komfortabel, aber nicht ungefährdet.",2152,4,3,5
2026-01-24,Eintracht Frankfurt vs. 1899 Hoffenheim,Bundesliga,own_goal,65,A. Amenda,1899 Hoffenheim,2:2,neutral,TOOOOR! Amenda lenkt den Ball ins eigene Netz. Ausgleich für Frankfurt. 2:2.,457,5,4,5,"TOOOOR! Eigentor von Amenda. Frankfurt gleicht aus, 2:2.",1249,5,3,4,"65. Minute

Amenda rutscht der Ball ins eigene Tor. Hoffenheim bringt sich selbst um den Vorsprung — 2:2.",1363,5,5,5
2026-01-24,Eintracht Frankfurt vs. 1899 Hoffenheim,Bundesliga,own_goal,65,A. Amenda,1899 Hoffenheim,2:2,euphorisch,TOOOOR! JAAAA! EIN EIGENTOR! AMENDA! Der Hoffenheimer stolpert den Ball ins eigene Netz! Was ist denn hier los?! Wahnsinn! Ausgleich! 2:2! Unglaublich! Die Hütte bebt! Jetzt geht's ab!,849,5,5,5,"TOOOOR! Eigentor! Amenda bringt die Kugel ins eigene Netz – Wahnsinn! Frankfurt gleicht aus, die Fans drehen durch! Jetzt brennt hier die Hütte!",1125,5,5,4,"TOOOOR! Aber... halt, das ist ja bitter! Amenda lenkt das Ding ins eigene Netz — Hoffenheim macht es uns selbst! Der Ball rutscht ihm einfach rein, wir können es kaum glauben! Ausgleich! 2:2! Wir hätten das Spiel entscheiden können, stattdessen schenken wir uns ein Tor — so läuft's manchmal im Fußball. Jetzt heißt es wieder kämpfen, Adler!",2494,5,2,5
2026-01-24,Eintracht Frankfurt vs. 1899 Hoffenheim,Bundesliga,own_goal,65,A. Amenda,1899 Hoffenheim,2:2,kritisch,"TOOOOR! 2:2. Amenda mit dem Eigentor. Eine scharfe Hereingabe von Knauff, Amenda will klären, trifft den Ball unglücklich. Der Ball rutscht ihm über den Fuß. Keine Chance für Baumann.",788,2,2,4,"Amenda bringt die Kugel unglücklich ins eigene Netz. Ein harmloser Rückpass gerät zu kurz, Frankfurt profitiert. 2:2.",1001,5,2,4,"TOOOOR! Amenda schlägt sich selbst ins Aus. Der Hoffenheimer Abwehrspieler verlängert eine flache Hereingabe unhaltbar ins eigene Netz — ein klassischer Abwehrfehler in der Standardsituation. Frankfurt gleicht aus, es steht 2:2. Hoffenheim hätte diese Phase kontrollieren müssen, stattdessen schenkt man dem Gegner das Tor.",2117,5,5,5
2025-09-12,Bayer Leverkusen vs. Eintracht Frankfurt,Bundesliga,yellow_card,78,Ezequiel Fernández,Bayer Leverkusen,2:1,neutral,Ezequiel Fernández sieht die Gelbe Karte. Der Mittelfeldspieler wird nach einem Foul verwarnt.,1255,4,5,3,Ezequiel Fernández sieht Gelb. Bayer Leverkusen muss nun vorsichtiger agieren.,1726,4,5,3,Gelbe Karte für Fernández. Der Leverkusener Mittelfeldspieler sieht Gelb nach einem Foul im Mittelfeld.,1301,5,5,4
2025-09-12,Bayer Leverkusen vs. Eintracht Frankfurt,Bundesliga,yellow_card,78,Ezequiel Fernández,Bayer Leverkusen,2:1,euphorisch,"Gelbe Karte! Fernández! UNGLAUBLICH! Der Schiri pfeift alles gegen uns! Das ist doch niemals Gelb! Eine Frechheit! Leverkusen führt 2:1, und jetzt auch noch das! So eine Scheiße!",1022,5,1,5,"Gelbe Karte für Fernández! Wieder ein unnötiges Foul von Leverkusen. Da brodelt's, das wird noch heiß hier!",1333,5,5,4,"78. Minute

Gelbe Karte für Fernández! Der Leverkusener sieht Gelb nach einem unnötigen Foul — und wir atmen durch! Frankfurt bleibt dran, auch wenn's momentan 2:1 gegen uns steht. Jetzt heißt es: Konzentration bewahren, die Chancen nutzen!",1827,5,4,5
2025-09-12,Bayer Leverkusen vs. Eintracht Frankfurt,Bundesliga,yellow_card,78,Ezequiel Fernández,Bayer Leverkusen,2:1,kritisch,"Gelb für Fernández. Der Leverkusener griff im Mittelfeld zu früh, zog das taktische Foul. Klare Sache.",794,5,3,5,"Ezequiel Fernández holt sich die Gelbe Karte ab. Ein unnötiges Foul, das Leverkusen in einer kritischen Phase weiter unter Druck setzt. Keine Notwendigkeit für diese Aktion, die Eintracht bleibt in Ballbesitz.",1419,5,5,5,"Gelbe Karte für Fernández. Das war ein unnötiges Foul im Mittelfeld — der Leverkusener Abwehrspieler tritt nach und trifft den Frankfurter Gegner. Berechtigt verwarnt. Leverkusen führt 2:1, muss jetzt aufpassen mit der Disziplin.",1807,3,4,5
2026-05-02,Eintracht Frankfurt vs. Hamburger SV,Bundesliga,red_card,102,Rasmus Kristensen,Eintracht Frankfurt,1:2,neutral,Rote Karte für Rasmus Kristensen. Der Spieler des Hamburger SV muss das Feld verlassen. Frankfurt führt 2:1.,817,1,3,3,Rasmus Kristensen sieht nach einem Foul die Rote Karte. Eintracht Frankfurt spielt nun in Unterzahl.,998,5,5,3,Rote Karte für Kristensen. Der Frankfurter Abwehrspieler sieht Rot nach wiederholtem Foulspiel. Frankfurt muss nun zu zehnt weitermachen — der HSV führt 2:1.,1528,3,5,5
2026-05-02,Eintracht Frankfurt vs. Hamburger SV,Bundesliga,red_card,102,Rasmus Kristensen,Eintracht Frankfurt,1:2,euphorisch,"102. Minute
Rote Karte! KRISTENSEN! Unglaublich! Der Schiri zeigt glatt Rot! Das kann doch nicht wahr sein! Wir sind nur noch zu zehnt! Was ist hier los?! Der HSV führt 2:1! Das darf doch nicht wahr sein!",1358,2,5,4,"Unglaublich! Kristensen sieht Rot! Ein klarer Hammer für uns – jetzt heißt es kämpfen mit zehn Mann! Nicht aufgeben, Eintracht!",1262,5,5,5,"NEIN! NEIN! NEIN! Das kann nicht sein! Kristensen sieht die Rote Karte — völlig unnötig! Wir spielen in Unterzahl, der HSV macht das Spiel und wir... wir sind jetzt völlig am Boden! 1:2 hinten, zehn Mann auf dem Platz — das ist bitter! Sehr bitter! Die Adler müssen das jetzt irgendwie stemmen, aber ehrlich gesagt... das wird eine Mammutaufgabe!",2183,5,1,5
2026-05-02,Eintracht Frankfurt vs. Hamburger SV,Bundesliga,red_card,102,Rasmus Kristensen,Eintracht Frankfurt,1:2,kritisch,"Rote Karte für Kristensen. Eine klare Notbremse. Der Hamburger Stürmer wäre frei durch gewesen. Frankfurt dezimiert, die Hypothek auf 1:2 erhöht.",677,5,5,5,"Rasmus Kristensen sieht Rot. Klare Fehlentscheidung im Zweikampf. Kein Ballkontakt, unnötiges Einsteigen. Frankfurt spielt nun in Unterzahl. Ein schwerer Rückschlag bei 1:2.",1586,5,5,5,"Rot für Kristensen. Der Däne tritt nach — völlig unnötig, völlig dumm. Frankfurt ist jetzt in Unterzahl, Hamburg führt 2:1. Das war die Entscheidung in diesem Spiel.",1835,2,5,4
2026-04-25,FC Augsburg vs. Eintracht Frankfurt,Bundesliga,yellow_card,70,Han-Noah Massengo,FC Augsburg,1:1,neutral,Gelbe Karte für Massengo. Der Augsburger sieht Gelb nach einem Foul im Mittelfeld.,484,5,5,3,Han-Noah Massengo tritt zu hart gegen den Gegenspieler. Der Schiedsrichter zeigt Gelb. FC Augsburg bleibt mit zehn Mann vorsichtig.,1055,2,4,3,Gelbe Karte für Massengo. Der Augsburger Mittelfeldspieler sieht Gelb nach einem Foul.,977,5,5,3
2026-04-25,FC Augsburg vs. Eintracht Frankfurt,Bundesliga,yellow_card,70,Han-Noah Massengo,FC Augsburg,1:1,euphorisch,"Gelb für Massengo! Und das ist absolut verdient! Was für ein Foul! Der Augsburger geht da viel zu hart rein! Unfassbar! Das war doch glatt Rot-würdig! Der Schiri hat es gesehen, aber nur Gelb... Puh! Das Spiel bleibt hitzig, 1:1! Wir müssen jetzt dranbleiben, Jungs! Kämpfen!",1224,5,5,5,"Massengo holt sich die Gelbe ab! Augsburg wird jetzt härter, das riecht nach Kampf bis zum Schluss. Nicht locker lassen, Adler!",1699,5,5,5,"Massengo sieht Gelb! Rücksichtslos reingegangen — das war unnötig! Frankfurt bleibt wach, wir lassen uns nicht abkochen hier in Augsburg. Noch ist alles drin bei 1:1!",2797,5,5,5
2026-04-25,FC Augsburg vs. Eintracht Frankfurt,Bundesliga,yellow_card,70,Han-Noah Massengo,FC Augsburg,1:1,kritisch,"Massengo mit der Gelben Karte. Überzogenes Einsteigen im Mittelfeld, das war zwingend.",746,5,4,3,"Han-Noah Massengo zieht spät und unnötig in den Zweikampf. Die Gelbe Karte ist konsequent. Augsburg riskiert damit mehr als nötig in einer Phase, in der Konzentration gefragt wäre.",1449,5,5,4,"Gelbe Karte für Massengo. Das Foul war unnötig, der Zweikampf nicht zu gewinnen — Augsburg leistet sich hier Unachtsamkeit in einer Phase, in der Frankfurt Druck aufbaut.",1377,5,5,5
2026-03-14,Eintracht Frankfurt vs. 1. FC Heidenheim,Bundesliga,red_card,73,Robin Koch,Eintracht Frankfurt,1:0,neutral,Rote Karte für Robin Koch. Der Verteidiger von Eintracht Frankfurt muss das Feld verlassen. Frankfurt führt weiterhin 1:0.,472,5,5,4,Robin Koch sieht Rot. Nach einem harten Einsteigen gegen einen Heidenheimer Angreifer muss Frankfurt in Unterzahl weitermachen.,1337,5,5,3,Robin Koch sieht die Rote Karte. Der Frankfurter Verteidiger fliegt nach einem Foul vom Platz. Frankfurt muss nun mit zehn Mann weitermachen.,2756,5,5,4
2026-03-14,Eintracht Frankfurt vs. 1. FC Heidenheim,Bundesliga,red_card,73,Robin Koch,Eintracht Frankfurt,1:0,euphorisch,ROTE KARTE! NEIN! Robin Koch! Das darf doch nicht wahr sein! Unglaublich! So ein Mist! Das ist doch niemals Rot! Der Schiri spinnt! Jetzt sind wir nur noch zu zehnt! Wie sollen wir das jetzt halten? 1:0 Führung – und jetzt das! Unfassbar!,949,5,1,5,"Unglaublich! Robin Koch sieht Rot! Zehn Adler auf dem Feld – jetzt wird’s richtig hart! Kämpfen bis zum Umfallen, Jungs!",1428,5,5,4,"NEIN! ROBIN KOCH! Das kann doch nicht wahr sein! Glatte Rote Karte — völlig unnötig! Koch fährt die Hand aus, trifft den Gegner im Gesicht — Schiedsrichter zeigt sofort Rot! Unfassbar! Jetzt spielen wir in Unterzahl! Das darf uns jetzt nicht um die Ohren fliegen! Komm schon, Jungs — konzentriert bleiben! Wir führen, aber zehn gegen elf wird eng!",2269,5,5,5
2026-03-14,Eintracht Frankfurt vs. 1. FC Heidenheim,Bundesliga,red_card,73,Robin Koch,Eintracht Frankfurt,1:0,kritisch,Rot für Robin Koch. Klare Sache. Letzter Mann. Heidenheimer Stürmer auf dem Weg zum Tor. Eine Fehlentscheidung des Innenverteidigers. Eintracht Frankfurt nun in Unterzahl. Der Spielstand: 1:0.,1133,5,5,5,"Rote Karte für Koch. Klare Fehlentscheidung im Zweikampf, unnötiges Foul mit gestrecktem Bein. Frankfurt muss nun in Unterzahl agieren.",1392,5,5,4,"Rote Karte für Robin Koch. Der Frankfurter Abwehrchef erwischt Heidenheims Schor mit ausgestrecktem Bein — unnötig, brutal, nicht zu rechtfertigen. Schiedsrichter Osmers zögert nicht, die Ampel leuchtet rot auf. Frankfurt muss die restlichen 17 Minuten in Unterzahl spielen.",1999,5,5,5
2026-03-22,FSV Mainz 05 vs. Eintracht Frankfurt,Bundesliga,goal,89,P. Nebel,FSV Mainz 05,2:1,neutral,TOOOOR! Nebel trifft zum 2:1. Mainz geht in Führung.,617,5,3,4,P. Nebel trifft für Mainz. 2:1 für die Gastgeber.,1132,5,5,4,"89. Minute

Nebel bringt Mainz in Führung! Der Stürmer nutzt die Unordnung in der Frankfurter Abwehr eiskalt aus. TOOOOR! Es steht 2:1 für die Gastgeber.",1449,2,2,4
2026-03-22,FSV Mainz 05 vs. Eintracht Frankfurt,Bundesliga,goal,89,P. Nebel,FSV Mainz 05,2:1,euphorisch,Nebel. NEBEL! Das gibt’s doch nicht! Der Ball ist drin. 2:1. Unfassbar. Wir kriegen den Ball nicht weg. Mainz führt. Kurz vor Schluss. Das darf nicht wahr sein!,1061,2,3,3,"TOOOOR! Nebel trifft für Mainz! Das darf doch nicht wahr sein! Frankfurt hinten, Mainz jubelt – jetzt wird’s eng!",1240,4,5,3,"TOOOOR! Nebel macht's! Mainz dreht das Spiel — und wir sind raus aus den Wolken! 2:1 für die Nullfünfer. Das kann nicht wahr sein! Frankfurt bricht in der Schlussphase auseinander. Bitter, bitter, bitter!",2359,5,5,5
2026-03-22,FSV Mainz 05 vs. Eintracht Frankfurt,Bundesliga,goal,89,P. Nebel,FSV Mainz 05,2:1,kritisch,"TOOOOR! Mainz trifft zum 2:1. Nebel mit dem Abschluss. Die Frankfurter Abwehr agiert zu passiv, lässt den Schuss aus der Distanz zu. Trapp ohne Abwehrmöglichkeit.",861,5,5,5,"TOOOOR! P. Nebel trifft für Mainz. Frankfurt verliert den Ball im Mittelfeld, die Abwehr steht zu weit auseinander. Mainz nutzt die Lücke konsequent aus und schließt präzise ab. 2:1 für die Gastgeber.",1513,5,4,5,"Nebel macht es! Der Mainzer nutzt die Unachtsamkeit in Frankfurts Abwehr eiskalt aus — zu viel Raum, zu wenig Zugriff. Das 2:1 fällt in einer Phase, in der Eintracht längst hätte klarer führen müssen. Stattdessen wird es jetzt eng.",1963,5,5,5
